event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count
yecheon_2023,33020630,충청북도,충청북도 충주시,연수동,0,0.6228913306774553,1.0,5082345.847763931,5641
yecheon_2023,33020640,충청북도,충청북도 충주시,목행·용탄동,0,0.08612862197960355,0.46000000834465027,13475190.691115418,14943
yecheon_2023,33030310,충청북도,충청북도 제천시,금성면,0,0.0,0.0,68670524.33275701,1131
yecheon_2023,33030340,충청북도,충청북도 제천시,덕산면,0,0.5501695662700513,1.0,111620952.80925159,123905
yecheon_2023,33030350,충청북도,충청북도 제천시,한수면,0,0.5417238709328999,1.0,74431643.61423224,82628
yecheon_2023,33041320,충청북도,충청북도 청주시,미원면,0,0.8040941632271548,1.0,129128808.76876444,143387
yecheon_2023,33041330,충청북도,충청북도 청주시,가덕면,0,0.813842843752282,1.0,49793184.0632401,19293
yecheon_2023,33041350,충청북도,충청북도 청주시,문의면,0,1.0,1.0,93036482.0639356,11
yecheon_2023,33520350,충청북도,충청북도 보은군,삼승면,0,0.6428727607350281,1.0,28261796.813968223,31374
yecheon_2023,33520360,충청북도,충청북도 보은군,수한면,0,0.5627272217109531,1.0,48846029.36353098,54264
yecheon_2023,33520370,충청북도,충청북도 보은군,회남면,0,0.7992210254857076,1.0,46630601.215995446,23133
yecheon_2023,33520380,충청북도,충청북도 보은군,회인면,0,0.8684745720919543,1.0,53956468.48103117,54116
yecheon_2023,33520390,충청북도,충청북도 보은군,내북면,0,0.8495019518136748,1.0,63170772.6187282,70154
yecheon_2023,33520400,충청북도,충청북도 보은군,산외면,0,0.6669842509671747,1.0,58614100.68299369,65085
yecheon_2023,33530110,충청북도,충청북도 옥천군,옥천읍,0,0.5988293927115916,1.0,47807068.73503446,25380
yecheon_2023,33530310,충청북도,충청북도 옥천군,동이면,0,0.6137662840681318,1.0,60600814.22370526,54348
yecheon_2023,33530320,충청북도,충청북도 옥천군,안남면,0,0.613770263771419,1.0,31764818.839636423,35284
yecheon_2023,33530330,충청북도,충청북도 옥천군,안내면,0,0.7969788133527562,1.0,64791973.72030544,70896
yecheon_2023,33530340,충청북도,충청북도 옥천군,청성면,0,0.510613547210662,1.0,83378014.0507092,91028
yecheon_2023,33530350,충청북도,충청북도 옥천군,청산면,0,0.4277769961963082,1.0,72990574.68493602,81048
yecheon_2023,33540320,충청북도,충청북도 영동군,황간면,0,0.7895488949718708,1.0,90412414.96199954,6606
yecheon_2023,33540400,충청북도,충청북도 영동군,심천면,0,1.0,1.0,78065929.55442572,126
yecheon_2023,33550320,충청북도,충청북도 진천군,초평면,0,0.9892529002198487,1.0,76403018.57144257,4310
yecheon_2023,33560110,충청북도,충청북도 괴산군,괴산읍,0,0.4883967304713284,1.0,49353701.06673528,54813
yecheon_2023,33560310,충청북도,충청북도 괴산군,감물면,0,0.5081165054205269,1.0,42630710.85824906,47311
yecheon_2023,33560320,충청북도,충청북도 괴산군,장연면,0,0.5980163079766256,1.0,61411072.27533792,68186
yecheon_2023,33560330,충청북도,충청북도 괴산군,연풍면,0,0.6490220645930357,1.0,93346330.6932733,103647
yecheon_2023,33560340,충청북도,충청북도 괴산군,칠성면,0,0.538365617569599,1.0,102243567.31661353,113523
yecheon_2023,33560350,충청북도,충청북도 괴산군,문광면,0,0.7814962868508846,1.0,56046887.63972557,62234
yecheon_2023,33560360,충청북도,충청북도 괴산군,청천면,0,0.5483234840913449,1.0,208786408.6549629,231838
yecheon_2023,37040360,경상북도,경상북도 안동시,남후면,0,0.8298322148903629,1.0,64384329.604150325,71461
yecheon_2023,37040370,경상북도,경상북도 안동시,남선면,0,0.6246454485700876,1.0,59355452.98427537,65886
yecheon_2023,37040380,경상북도,경상북도 안동시,임하면,0,0.3775045751351848,1.0,92593845.67337899,102732
yecheon_2023,37040390,경상북도,경상북도 안동시,길안면,0,0.34834728739164217,1.0,202430789.66208667,119204
yecheon_2023,37040400,경상북도,경상북도 안동시,임동면,0,0.20538183322120912,1.0,152207821.99000278,53636
yecheon_2023,37040630,경상북도,경상북도 안동시,강남동,0,0.4590457714269058,1.0,19531683.40935435,21651
yecheon_2023,37050330,경상북도,경상북도 구미시,도개면,0,0.7318240170690226,1.0,60884458.9575884,55926
yecheon_2023,33020510,충청북도,충청북도 충주시,성내·충인동,0,0.9376936939922539,1.0,500751.65306796145,555
yecheon_2023,33020540,충청북도,충청북도 충주시,교현2동,0,0.8983556007677335,1.0,872602.4147669512,973
yecheon_2023,33520110,충청북도,충청북도 보은군,보은읍,0,0.4967839905668926,1.0,62331604.95053997,69210
yecheon_2023,33520310,충청북도,충청북도 보은군,속리산면,0,0.38449308000470234,1.0,92321232.54777332,102531
yecheon_2023,33520320,충청북도,충청북도 보은군,장안면,0,0.44485054549425285,1.0,29806791.46279137,33087
yecheon_2023,33520330,충청북도,충청북도 보은군,마로면,0,0.532712134929165,1.0,68206603.27328905,75730
yecheon_2023,37060110,경상북도,경상북도 영주시,풍기읍,0,0.5175403077728234,1.0,76780591.06307657,85218
yecheon_2023,37060310,경상북도,경상북도 영주시,이산면,0,0.3181541631648819,1.0,54200253.30937854,60157
yecheon_2023,37060320,경상북도,경상북도 영주시,평은면,0,0.28774781194362153,1.0,63123499.27191676,70043
yecheon_2023,37060330,경상북도,경상북도 영주시,문수면,0,0.27368232745230375,1.0,42065834.749632224,46677
yecheon_2023,33030320,충청북도,충청북도 제천시,청풍면,0,0.3554764930303279,1.0,92251435.7296291,79445
yecheon_2023,37080520,경상북도,경상북도 상주시,남원동,0,0.40941818170019656,1.0,27741241.761356123,30800
yecheon_2023,37080530,경상북도,경상북도 상주시,북문동,0,0.6247358548703856,1.0,14414448.161488961,15995
yecheon_2023,37080540,경상북도,경상북도 상주시,계림동,0,0.8052876138656718,1.0,11651307.693898832,12934
yecheon_2023,37080560,경상북도,경상북도 상주시,동성동,0,0.5641621827477908,1.0,11722807.182170374,13010
yecheon_2023,37080570,경상북도,경상북도 상주시,신흥동,0,0.6116757380051117,1.0,25478236.542762067,28292
