event,ADM_CD,SIDO,SIGUNGU,EMD,label_source,positive,mean_prob,pixel_count
yecheon_2023,33030320,충청북도,충청북도 제천시,청풍면,Sentinel scar label,1,0.3554764930303279,79445
yecheon_2023,37080520,경상북도,경상북도 상주시,남원동,Sentinel scar label,1,0.40941818170019656,30800
yecheon_2023,37080530,경상북도,경상북도 상주시,북문동,Sentinel scar label,1,0.6247358548703856,15995
yecheon_2023,37080540,경상북도,경상북도 상주시,계림동,Sentinel scar label,0,0.8052876138656718,12934
yecheon_2023,37080560,경상북도,경상북도 상주시,동성동,Sentinel scar label,0,0.5641621827477908,13010
yecheon_2023,37080570,경상북도,경상북도 상주시,신흥동,Sentinel scar label,1,0.6116757380051117,28292
yecheon_2023,33020430,충청북도,충청북도 충주시,대소원면,Sentinel scar label,1,0.6105383109532743,69012
yecheon_2023,33020440,충청북도,충청북도 충주시,중앙탑면,Sentinel scar label,1,0.19543979570098194,17258
yecheon_2023,33020620,충청북도,충청북도 충주시,칠금·금릉동,Sentinel scar label,1,0.7368340065785594,6434
yecheon_2023,33041310,충청북도,충청북도 청주시,낭성면,Sentinel scar label,1,0.8722594330352064,53925
yecheon_2023,33530380,충청북도,충청북도 옥천군,군북면,Sentinel scar label,1,0.8258028275945177,21991
yecheon_2023,33540310,충청북도,충청북도 영동군,용산면,Sentinel scar label,1,0.5091133583299103,25512
yecheon_2023,33560370,충청북도,충청북도 괴산군,청안면,Sentinel scar label,1,0.6303639447064989,78693
yecheon_2023,33560380,충청북도,충청북도 괴산군,사리면,Sentinel scar label,1,0.46661526087892685,56090
yecheon_2023,33560390,충청북도,충청북도 괴산군,소수면,Sentinel scar label,1,0.40998120898251084,51621
yecheon_2023,33560400,충청북도,충청북도 괴산군,불정면,Sentinel scar label,1,0.6006630926627987,67170
yecheon_2023,33570110,충청북도,충청북도 음성군,음성읍,Sentinel scar label,1,0.386036581967502,95675
