event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count,mean_elevation_m,relief_m,log_unit_area_m2
yecheon_2023,33560380,충청북도,충청북도 괴산군,사리면,0,0.4666152608789268,1.0,50511454.695004545,56090,233.9932098388672,529.5938110351562,17.737710694168197
yecheon_2023,33560390,충청북도,충청북도 괴산군,소수면,0,0.4099812089825108,1.0,46490435.9043238,51621,259.7218322753906,422.1340026855469,17.65475716992575
yecheon_2023,33560400,충청북도,충청북도 괴산군,불정면,0,0.6006630926627987,1.0,60501748.9395626,67170,193.8048553466797,437.1745300292969,17.918182830675182
yecheon_2023,33570110,충청북도,충청북도 음성군,음성읍,0,0.386036581967502,1.0,86161719.21479572,95675,246.81822204589844,698.14208984375,18.271736544359804
yecheon_2023,33570120,충청북도,충청북도 음성군,금왕읍,0,0.3637677181539853,1.0,71200430.4407249,41906,150.64584350585938,559.0728759765625,18.081009421879727
yecheon_2023,37090110,경상북도,경상북도 문경시,문경읍,0,0.4343521739039771,1.0,155663182.01480097,172801,478.4098815917969,968.3052368164062,18.863205141370614
yecheon_2023,37090120,경상북도,경상북도 문경시,가은읍,0,0.5234229593649341,1.0,153495057.90041846,170411,410.29058837890625,862.6656494140625,18.84917892838474
yecheon_2023,37090590,경상북도,경상북도 문경시,점촌3동,0,0.8341209879993371,1.0,9035158.651704269,10034,106.77030944824219,202.44537353515625,16.016634041533795
yecheon_2023,37090600,경상북도,경상북도 문경시,점촌4동,0,0.8079973966374594,1.0,29768038.862705648,33042,211.70909118652344,566.0477294921875,17.208945854527283
yecheon_2023,33520340,충청북도,충청북도 보은군,탄부면,0,0.6132698446052509,1.0,31580075.239598814,35072,179.2958526611328,322.51727294921875,17.26803694929681
yecheon_2023,37080440,경상북도,경상북도 상주시,은척면,0,0.4338239309966883,1.0,54083867.994160704,60056,308.3236999511719,714.49853515625,17.806046510701957
yecheon_2023,37080450,경상북도,경상북도 상주시,공검면,0,0.6510586936134861,1.0,39438231.923724726,43752,116.58264923095703,353.2295837402344,17.49024625717367
yecheon_2023,37080460,경상북도,경상북도 상주시,이안면,0,0.4718982414260908,1.0,52562049.81073087,58354,193.48936462402344,697.94482421875,17.7775049308233
yecheon_2023,37080470,경상북도,경상북도 상주시,화남면,0,0.3758393521854206,1.0,54623267.69723947,60642,388.5266418457031,705.11962890625,17.815970498240823
yecheon_2023,33580110,충청북도,충청북도 단양군,단양읍,0,0.6830877293726719,1.0,75796366.18383299,84133,499.1497802734375,1269.49267578125,18.143560909936195
yecheon_2023,33580320,충청북도,충청북도 단양군,대강면,0,0.3777215730913323,1.0,134124397.61016747,148822,621.3049926757812,1201.38427734375,18.714278267648144
yecheon_2023,33580330,충청북도,충청북도 단양군,가곡면,0,0.2165218080146153,0.9700000286102296,104564274.22588085,75568,541.4986572265625,1434.511474609375,18.465312504657074
yecheon_2023,33580340,충청북도,충청북도 단양군,영춘면,0,0.1124950201127216,0.5699999928474426,180628411.73697597,29118,640.6111450195312,1372.1883544921875,19.011952505161794
yecheon_2023,37040110,경상북도,경상북도 안동시,풍산읍,0,0.4194321616926628,1.0,96521338.36376493,107108,160.43609619140625,555.9083862304688,18.38527466480571
yecheon_2023,37040310,경상북도,경상북도 안동시,와룡면,0,0.3018805396728727,1.0,114918111.5104362,127490,224.50160217285156,349.5306701660156,18.55973035886025
yecheon_2023,37040320,경상북도,경상북도 안동시,북후면,0,0.3079231843206849,1.0,77317092.62900402,85790,280.26507568359375,767.1452026367188,18.163425609799766
yecheon_2023,37040330,경상북도,경상북도 안동시,서후면,0,0.3461780441714875,1.0,65013013.40193039,72128,219.5206756591797,754.8692626953125,17.99009801400487
yecheon_2023,37040340,경상북도,경상북도 안동시,풍천면,0,0.8023474114457284,1.0,95005203.56471108,105431,156.47381591796875,413.301025390625,18.369442222430134
